shared_name	name	involvement
Gorai.012G077200	GhESK1-1	xylan backbone synthesis
Gorai.012G077300	GhTBL30-2	xylan backbone synthesis
Gorai.012G077600	GhESK1-4	xylan backbone synthesis
Gorai.012G100000	GhTBR-4	AGP/homogalacturonan synthesis
Gorai.012G103300	GhGlcAT14C-2	AGP synthesis
Gorai.012G110800	GhRRT9-2	RG-I backbone synthesis
Gorai.012G115400	GhTBL3-2	AGP/homogalacturonan synthesis
Gorai.012G116300	GhESK1-3	xylan backbone synthesis
Gorai.012G118800	GhTBL35-2	xylan backbone synthesis
Gorai.012G121200	GhAGP:GALT4-2	AGP synthesis
Gorai.012G128700	GhGSL01-4	callose synthesis
Gorai.012G131400	GhGAUT10-1	homogalacturonan synthesis
Gorai.012G176100	GhGXMT1-5	xylan-side chain synthesis
Gorai.012G187400	GhGSL07-3	callose synthesis
Gorai.013G016700	GhTBL32-2	xylan backbone synthesis
Gorai.013G017400	GhESK1-2	xylan backbone synthesis
Gorai.013G063700	GhGAUT3-2	homogalacturonan synthesis
Gorai.013G075600	GhGSL05-2	callose synthesis
Gorai.013G088600	GhFUT6-2	AGP synthesis
Gorai.013G088600 	GhFUT1-1	Xyloglucan
Gorai.013G093300	GhQUA2-5	homogalacturonan synthesis
Gorai.013G097700	GhRRT1-5	RG-I backbone synthesis
Gorai.013G097800	GhRRT5-2	RG-I backbone synthesis
Gorai.013G097900	GhRRT1-6	RG-I backbone synthesis
Gorai.013G100100	GhGAUT15-1	homogalacturonan synthesis
Gorai.013G105100	GhGUX1-2	xylan-side chain synthesis
Gorai.013G123900	GhGUX4-2	xylan-side chain synthesis
Gorai.013G137000	GhGXMT1-2	xylan-side chain synthesis
Gorai.013G164000	GhGAUT12-1	homogalacturonan synthesis
Gorai.013G166100	GhRWA1-2	xylan backbone synthesis
Gorai.013G168800	GhGlcAT14A-5	AGP synthesis
Gorai.013G199500 	GhCESA9-2	PCW
Gorai.013G225200	GhRRT7-2	RG-I backbone synthesis
